nome,nota 1,nota 2,nota_pesquisa
TechNova,0.3,4.5,2.4
InovaCorp,1.4,1.6,1.5
EcoGen Solutions,2.5,2.6,2.55
NovaDigital,3.7,3.6,3.65
PrimeTech,4.8,4.6,4.7
VisionaSys,5.9,5.6,5.75
BlueWave,7.0,6.6,6.8
Nexa Global,8.1,7.6,7.85
CyberDoce,8.7,8.6,8.65
FutureLink,10.3,9.6,9.95
InovaSource,11.4,10.6,11.0
QuantumTech,12.7,11.6,12.15
UrbanEdge,13.8,12.6,13.2
DigiPulse,14.9,13.6,14.25
NextEra,15.1,14.6,14.85
StellarSoft,16.2,15.6,15.9
AlphaNet,17.3,16.6,16.95
Vertex Innovations,18.4,17.6,18.0
Synergia Solutions,19.5,18.6,19.05
BrightPath,20.7,19.6,20.15
Infinity Labs,21.8,20.6,21.2
NovaHorizons,22.9,21.6,22.25
EliteDynamics,23.9,22.6,23.25
